loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition
1877,4243911,K01337.01,Kepler-821 b,CONFIRMED,CANDIDATE
1878,4466677,K01338.01,Kepler-822 b,CONFIRMED,CANDIDATE
1879,4466677,K01338.02,,CANDIDATE,CANDIDATE
1880,4466677,K01338.03,,CANDIDATE,CANDIDATE
1881,4135665,K01339.01,Kepler-823 b,CONFIRMED,CANDIDATE
1882,4386059,K01340.01,,FALSE POSITIVE,FALSE POSITIVE
1883,4650674,K01341.01,Kepler-824 b,CONFIRMED,CANDIDATE
1884,4275721,K01342.01,Kepler-825 b,CONFIRMED,CANDIDATE
1885,4275721,K01342.02,Kepler-825 c,CONFIRMED,CANDIDATE
1886,4570931,K01343.01,,FALSE POSITIVE,FALSE POSITIVE
1887,4136466,K01344.01,Kepler-826 b,CONFIRMED,CANDIDATE
1888,7284688,K01345.01,,FALSE POSITIVE,FALSE POSITIVE
1889,7199774,K01346.01,,FALSE POSITIVE,FALSE POSITIVE
1890,7037540,K01347.01,,FALSE POSITIVE,FALSE POSITIVE
1891,7037540,K01347.02,,FALSE POSITIVE,FALSE POSITIVE
1892,6866228,K01348.01,,FALSE POSITIVE,FALSE POSITIVE
1893,6847018,K01349.01,,FALSE POSITIVE,FALSE POSITIVE
1894,7220322,K01350.01,,FALSE POSITIVE,FALSE POSITIVE
1895,6964043,K01351.01,,FALSE POSITIVE,FALSE POSITIVE
1896,6956233,K01352.01,,FALSE POSITIVE,FALSE POSITIVE
1897,7303287,K01353.01,Kepler-289 c,CONFIRMED,CANDIDATE
1898,7303287,K01353.02,Kepler-289 b,CONFIRMED,CANDIDATE
1899,7303287,K01353.03,,CANDIDATE,CANDIDATE
1900,6891543,K01354.01,,FALSE POSITIVE,FALSE POSITIVE
1901,7211141,K01355.01,Kepler-827 b,CONFIRMED,CANDIDATE
1902,7363829,K01356.01,,CANDIDATE,CANDIDATE
1903,6719086,K01357.01,,CANDIDATE,CANDIDATE
1904,7376983,K01358.01,Kepler-1987 d,CONFIRMED,CANDIDATE
1905,7376983,K01358.02,Kepler-1987 e,CONFIRMED,CANDIDATE
1906,7376983,K01358.03,Kepler-1987 c,CONFIRMED,CANDIDATE
1907,7376983,K01358.04,Kepler-1987 b,CONFIRMED,CANDIDATE
1908,6946199,K01359.01,Kepler-1744 b,CONFIRMED,CANDIDATE
1909,6946199,K01359.02,,CANDIDATE,CANDIDATE
1910,7102227,K01360.01,Kepler-290 c,CONFIRMED,CANDIDATE
1911,7102227,K01360.02,Kepler-290 b,CONFIRMED,CANDIDATE
1912,7102227,K01360.03,Kepler-290 d,CONFIRMED,CANDIDATE
1913,6960913,K01361.01,Kepler-61 b,CONFIRMED,CANDIDATE
1914,6837146,K01362.01,,CANDIDATE,CANDIDATE
1915,6936909,K01363.01,Kepler-291 b,CONFIRMED,CANDIDATE
1916,6936909,K01363.02,Kepler-291 c,CONFIRMED,CANDIDATE
1917,6962977,K01364.01,Kepler-292 f,CONFIRMED,CANDIDATE
1918,6962977,K01364.02,Kepler-292 d,CONFIRMED,CANDIDATE
1919,6962977,K01364.03,Kepler-292 e,CONFIRMED,CANDIDATE
1920,6962977,K01364.04,Kepler-292 c,CONFIRMED,CANDIDATE
1921,6962977,K01364.05,Kepler-292 b,CONFIRMED,CANDIDATE
1922,7174351,K01365.01,,FALSE POSITIVE,FALSE POSITIVE
1923,6932987,K01366.01,Kepler-293 b,CONFIRMED,CANDIDATE
1924,6932987,K01366.02,Kepler-293 c,CONFIRMED,CANDIDATE
1925,6934291,K01367.01,Kepler-828 b,CONFIRMED,CANDIDATE
1926,7357531,K01368.01,,FALSE POSITIVE,FALSE POSITIVE
1927,7287415,K01369.01,Kepler-1745 b,CONFIRMED,CANDIDATE
1928,6924203,K01370.01,Kepler-829 b,CONFIRMED,CANDIDATE
1929,6878167,K01371.01,,FALSE POSITIVE,FALSE POSITIVE
